rule,width,beta2,seed,layer,h0,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
C,512,0.99,0,W4,0.01602171326960798,0.0,0.00017547312017995864,5.964062167701971e+30,400,2.5489667469290556,48.963741302490234,331,331,468,520
C,512,0.99,0,W5,0.016056346972048316,0.0,128.73553466796875,4.366085286669483e+36,100,2.3546656209885066,5.064741611480713,331,331,468,520
C,512,0.99,1,W1,5.223609255215819e-05,0.0,26.290002822875977,2.7406934913350324e+38,100,0.8790143885940458,2.998288869857788,342,416,446,546
C,512,0.99,1,W2,0.01603454797413603,0.0,0.029941359534859657,1.0168463014224067e+33,300,0.8137906374180544,50.99595642089844,342,416,446,546
C,512,0.99,1,W3,0.016019534503059353,0.0,0.0009933599503710866,3.3767372803865628e+31,300,1.1467461138424127,33.0417366027832,342,416,446,546
C,512,0.99,1,W4,0.01601176069027364,0.0,0.0010918737389147282,3.7134180880806737e+31,300,1.2109791387455593,41.752620697021484,342,416,446,546
C,512,0.99,1,W5,0.016150390428275287,0.0,477.35528564453125,1.6095305654653788e+37,100,1.245916893863655,10.573969841003418,342,416,446,546
C,512,0.99,2,W1,5.28220590034932e-05,0.0,5.8736114501953125,6.055226685345488e+37,100,1.068251285785714,3.960183620452881,371,396,457,544
C,512,0.99,2,W2,0.016009188782920118,0.0,0.010521919466555119,3.579036816667159e+32,300,1.1907230074009154,150.3489532470703,371,396,457,544
C,512,0.99,2,W3,0.01589438201889643,0.0,0.0006700356025248766,2.2955922561198546e+31,400,1.232983708570063,20.564844131469727,371,396,457,544
C,512,0.99,2,W4,0.01600183335631686,0.0,0.0007663018186576664,2.6077780848752606e+31,400,1.174177225214831,106.01966094970703,371,396,457,544
C,512,0.99,2,W5,0.01584822328845603,0.0,425.0690002441406,1.4605598922512164e+37,100,1.2469790376548966,3.892099380493164,371,396,457,544
